Crop,State,Cost of Cultivation,Cost of Production,Yield ,Extra Costs
COTTON,Uttar Pradesh,9794.05,1941.55,9.83,119
COTTON,Karnataka,10593.15,2172.46,7.47,56
COTTON,Gujarat,13468.82,1898.3,9.59,89
COTTON,Andhra Pradesh,17051.66,3670.54,6.42,99
COTTON,Maharashtra,17130.55,2775.8,8.72,65
COTTON,Maharashtra,23711.44,2539.47,12.69,147
COTTON,Punjab,29047.1,2003.76,24.39,69
COTTON,Andhra Pradesh,29140.77,2509.99,17.83,125
COTTON,Gujarat,29616.09,2179.26,19.05,142
COTTON,Haryana,29918.97,2127.35,19.9,131
GRAM,Rajasthan,8552.69,1691.66,6.83,125
GRAM,Madhya Pradesh,9803.89,1551.94,10.29,119
GRAM,Uttar Pradesh,12833.04,1882.68,10.93,53
GRAM,Maharashtra,12985.95,2277.68,8.05,64
GRAM,Andhra Pradesh,14421.98,1559.04,16.69,129
GRAM,Karnataka,13647.1,3484.01,4.71,125
GRAM,Andhra Pradesh,21229.01,2554.91,11.97,99
GRAM,Tamil Nadu,22507.86,2358,11.98,149
GRAM,Gujarat,22951.28,1918.92,13.45,137
GRAM,Maharashtra,26078.66,3207.35,9.33,107
MAIZE,Bihar,13513.92,404.43,42.95,105
MAIZE,Karnataka,13792.85,581.69,31.1,101
MAIZE,Rajasthan,14421.46,658.77,23.56,139
MAIZE,Uttar Pradesh,15635.43,1387.36,13.7,104
MAIZE,Andhra Pradesh,25687.09,840.58,42.68,149
MAIZE,Orissa,5483.54,2614.14,3.01,120
MAIZE,Rajasthan,6204.23,2068.67,4.05,85
MAIZE,Karnataka,6440.64,5777.48,1.32,94
MAIZE,Andhra Pradesh,6684.18,2228.97,5.9,121
MAIZE,Maharashtra,10780.76,2261.24,6.7,113
PADDY,Uttar Pradesh,17022,732.62,36.61,70
PADDY,Orissa,17478.05,715.04,32.42,91
PADDY,West Bengal,24731.06,731.25,39.04,56
PADDY,Punjab,25154.75,669.86,67.41,78
PADDY,Andhra Pradesh,29664.84,789.9,56,51
RAPESEED AND MUSTARD,Madhya Pradesh,8686.43,1279.6,12.94,144
RAPESEED AND MUSTARD,Rajasthan,11385.7,1341.29,13.54,52
RAPESEED AND MUSTARD,Uttar Pradesh,12774.41,1595.56,13.57,61
RAPESEED AND MUSTARD,Gujarat,13740.64,NA,11.61,77
RAPESEED AND MUSTARD,Haryana,14715.27,1251.12,19.94,133
PADDY,Madhya Pradesh,12464.4,810.25,23.59,73
PADDY,Punjab,17945.58,804.8,39.83,132
PADDY,Uttar Pradesh,18979.38,769.84,34.99,65
PADDY,Rajasthan,19119.08,683.58,37.19,93
