ZipCode,Bedrooms,Bathrooms,Garage,Year,Sqft,Price
37221,5,4,Yes,1989,2502,349900
37221,3,2,Yes,1977,1875,399900
37211,4,2,No,2007,1793,299000
37221,5,3,Yes,2015,3204,525000
37216,3,2,No,1946,1236,299900
37221,4,3,No,1968,1940,275000
37023,3,1,No,2001,1032,80000
37216,2,4,No,1950,2541,475000
37216,3,2,No,1938,1715,337900
37023,2,1,No,2002,816,45000
37218,3,2.5,Yes,1997,3005,750000
37214,4,3,Yes,1957,2572,368900
37216,2,1,No,1948,986,239900
37211,4,3,Yes,2004,3030,419900
37214,4,4,No,1955,3310,199900
37023,3,1,No,2008,1032,89000
37216,3,2,No,1948,1565,259000
37218,3,2.5,Yes,1998,2592,600000
37216,3,3,Yes,2018,2286,445000
37221,5,3,Yes,2009,2646,385000
37214,3,3,Yes,2006,1404,249900
37216,2,1,No,1933,925,159000
37218,2,2,Yes,1960,1473,150000
37023,3,2,No,1998,1706,68900
37211,2,2,Maybe,1920,1251,299000
37214,3,3,No,1985,1710,238500
37221,5,3,Yes,2002,3174,450000
37218,3,2,Maybe,1899,1525,709000
37216,3,1,No,1943,1552,299000
37214,3,2,Yes,2001,1933,275000
37211,3,3,No,2018,1785,309000
37023,2,1,Yes,2003,768,85000
37221,4,2,Yes,1968,2084,289000
37216,2,1,No,1920,1702,375000
37218,5,3,Yes,1955,3164,265000
37214,3,2,Yes,1986,1385,259000
37211,3,2,Yes,1974,1905,212500
37216,3,3,No,2017,2306,428000
37218,3,1,Maybe,1963,975,170000
37023,3,1,No,2001,1032,80000
37214,3,2,Yes,1991,1146,209000
37211,3,2,No,1989,1369,179900
37218,3,2,Yes,1980,1250,209900
37214,5,3,Yes,1962,3296,199500
37211,3,3,Yes,1993,2762,354900
37218,3,2,Maybe,1977,1826,225000
37214,3,2,No,1997,958,169999
37211,3,2.5,No,1979,1518,198000
37214,2,2,Yes,1991,968,179900
37023,3,2,No,1930,1938,72000
37211,3,3,Yes,1993,1860,304900
37211,2,2,No,1984,1004,130000
37023,3,1,No,2001,1032,80000
37221,2,3,Maybe,2004,1216,207499
37023,3,1,No,1981,1050,88500
37214,2,2,Yes,1991,968,179900
37201,1,1,Maybe,2008,810,409000
37206,3,2,Maybe,2018,1514,275000
37217,3,2,Yes,2000,1692,220000
37206,3,2,Yes,1956,1914,185000
37204,4,3,Yes,2016,3076,789000
37201,1,1,Yes,2008,911,369000
37207,3,2,No,2018,1400,214900
37206,3,2,No,1960,1408,259000
37220,3,2,No,1955,2346,385000
37217,4,2.5,Yes,1980,2325,259900
37206,3,2,No,1885,1894,574900
37207,3,4,Yes,2018,2956,394000
37220,3,1,Yes,1958,1210,374900
37201,3,4,Yes,1890,2716,389000
37217,3,2.5,No,2006,1488,192000
37207,4,2.5,Yes,2005,2866,327000
37206,3,3,No,1900,2665,699000
37206,3,2,Yes,1930,1350,229000
37217,3,2.5,Yes,2018,1613,234900
37220,3,1,No,1955,1388,340000
37204,4,3,Yes,1957,2572,368900
37217,3,2.5,Yes,2018,1460,219900
37206,2,1,Yes,1940,878,224900
37207,4,3,Maybe,1975,2926,359900
37206,3,3,Yes,2015,2114,464900
37204,3,2.5,Yes,1975,1656,159000
37204,3,2,No,1937,1750,575000
37217,2,1,Yes,1948,1081,145000
37201,1,2,Maybe,2008,1110,497500
37206,3,2,Yes,1950,1695,354900
37217,3,2.5,Yes,2005,1618,214900
37207,2,1,No,1986,912,128000
37201,1,1,Yes,2008,836,415000
37206,3,1,No,1899,2772,349900
37217,3,2,No,1978,1528,169000
37207,3,2,Maybe,1950,1890,139900
37201,1,1,Maybe,2008,722,364500
37217,3,2,Yes,1969,1323,239900
37204,4,3,Maybe,2018,2108,449900
37201,2,2,Yes,1986,996,425000
37217,3,2,Yes,1969,1262,199900
37207,3,1,No,1972,975,144900
37201,1,1,Maybe,2008,623,275000
37220,3,1,No,1955,1388,340000
37207,2,1,No,1954,968,199900
37201,1,1,Maybe,2008,820,328900
