school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Term1Grade,Term2Grade,FinalGrade
MS,F,16,U,GT3,A,4,4,teacher,services,other,father,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,1,0,12,12,
MS,M,17,U,GT3,T,3,2,services,other,reputation,mother,2,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,2,3,0,6,6,
MS,F,18,U,LE3,T,1,1,other,services,home,father,2,1,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,4,3,4,8,9,
GP,F,17,U,GT3,A,1,1,at_home,services,course,father,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,2,2,5,0,18,16,
GP,F,17,U,GT3,T,1,4,at_home,other,course,mother,3,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,13,12,
MS,M,17,R,LE3,T,1,1,at_home,other,other,mother,2,2,1,no,no,no,yes,no,no,no,no,4,4,3,2,3,5,2,13,12,
MS,F,18,U,GT3,T,1,3,services,services,other,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,1,3,3,0,11,11,
MS,F,17,U,LE3,T,3,4,at_home,at_home,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,2,3,4,1,1,1,0,16,15,
MS,F,17,R,GT3,T,4,2,other,services,course,father,2,2,0,no,no,no,no,no,yes,no,no,3,2,2,1,2,3,0,12,11,
MS,M,18,R,GT3,T,1,3,at_home,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,3,3,4,2,4,3,4,10,10,
MS,M,15,U,LE3,T,1,4,teacher,services,other,mother,2,3,0,no,no,yes,no,yes,yes,yes,yes,4,2,2,2,2,5,0,13,13,
